遇到逆竟时，我们必须勇于面对，而且要愈挫愈勇，这样我们才能朝著成功之路前进。	遇到逆境时，我们必须勇于面对，而且要愈挫愈勇，这样我们才能朝著成功之路前进。
这女人告所他的大学在那里。	这女人告所他的大学在那里。
大学里的时后，他们见了面。	大学里的时后，他们见了面。
可以问路的女人是他的是新中文老师。	可以问路的女人是他的是新中文老师。
我吃道你。	我知道你。
他穿塶色的衣服。	他穿绿色的衣服。
幸亏碰到了一位会说英文的小姐，总是找到教室了。	幸亏碰到了一位会说英文的小姐，总是找到教室了。
第一天不错。	第一天不错。
现在大卫的中文很好，不会迷路还会教别人怎么走过去那里，台北市哪里有好玩的地方等等。	现在大卫的中文很好，不会迷路还会教别人怎么走过去那里，台北市哪里有好玩的地方等等。
他都会购通别人了喔，而且认识了好多外国朋友了。	他都会沟通别人了喔，而且认识了好多外国朋友了。
虽然我看地读为了走路去到中文教室，可是在美术馆前面的道路我迷路。	虽然我看地图为了走路去到中文教室，可是在美术馆前面的道路我迷路。
我带来一个地图可是我看不动，也不知道教师在哪里。	我带来一个地图可是我看不懂，也不知道教室在哪里。
先宰我的中文真不好。	现在我的中文真不好。
他很少座捷运去玩。	他很少坐捷运去玩。
有一天他想座捷运去上中文课。	有一天他想坐捷运去上中文课。
你要从那个捷运站去到公官站就到了！	你要从那个捷运站去到公馆站就到了！
对啊，我就是！	对啊，我就是！
老师开始教明星今天的第一个中国子。	老师开始教明星今天的第一个中国字。
但是明星觉得「你好」不够难，因为他来台湾已经很久了。	但是明星觉得「你好」不够难，因为他来台湾已经很久了。
请你去五大唱片店帮我买，那点在中友百货附近。	请你去五大唱片店帮我买，那店在中友百货附近。
那时后，有一个人开车过来他的地方，他马上请他帮助他。	那时候，有一个人开车过来他的地方，他马上请他帮助他。
你可以告诉我那家书店有中文数马？	你可以告诉我那家书店有中文书吗？
情你们帮我，我弄丢了一本书。	请你们帮我，我弄丢了一本书。
那本书黄色，还有上面红红的漂亮化，书上有写我的名。	那本书黄色，还有上面红红的漂亮花，书上有写我的名。
书找到了，情给李小姐打电话。	书找到了，请给李小姐打电话。
他有男朋友叫林大明，她在台湾工作。	他有男朋友叫林大明，她在台湾工作。
她回国以后，男朋友就把他拍的像片寄给她。	她回国以后，男朋友就把他拍的相片寄给她。
他们用电脑一边看那些像片一边聊天。	他们用电脑一边看那些相片一边聊天。
这次署假小花去台北旅行顺便去看她的男朋友。	这次暑假小花去台北旅行顺便去看她的男朋友。
她的男朋友带她走走台北，去台北最有名的餐厅吃饭。	她的男朋友带她走走台北，去台北最有名的餐厅吃饭。
吃了饭带她去公园照相。	吃了饭带她去公园照相。
晚上时他跟她的男朋友用电脑聊天。	晚上时她跟她的男朋友用电脑聊天。
李伟很会拍照片，所以他派了很多照片。	李伟很会拍照片，所以他拍了很多照片。
他们最喜欢的地方是高雄的柴山，那里很漂亮友山友海。	他们最喜欢的地方是高雄的柴山，那里很漂亮有山有海。
李伟把暑假的照片寄给小王，有的时候他们一起看和聊天。	李伟把暑假的照片寄给小王，有的时候他们一起看和聊天。
我是你得学生。	我是你的学生。
明天我有很重要得事，没有时间来上课。	明天我有很重要的事，没有时间来上课。
谢谢老师，那我写到这边先好吧，在两天见面，再见。	谢谢老师，那我写到这边先好吧，再两天见面，再见。
我明天回家的时候要给你塔电话，告诉你我好不好。	我明天回家的时候要给你打电话，告诉你我好不好。
您知道翘课不是我的习惯，可是这次没办法改变我的约会。	您知道翘课不是我的习惯，可是这次没办法改变我的约会。
我希望您可以了解我明天没办法来上课，后天见！	我希望您可以了解我明天没办法来上课，后天见！
所以现在我想告诉你我不能跟你一起去看电影，对不起。	所以现在我想告诉你我不能跟你一起去看电影，对不起。
我要请你来印尼，我的国家，在印尼有很多好看的地放。	我要请你来印尼，我的国家，在印尼有很多好看的地方。
印尼的菜也很好吃，可是有一点儿辣。	印尼的菜也很好吃，可是有一点儿辣。
印尼的天气不太好，只有夏天，所以每天很热。	印尼的天气不太好，只有夏天，所以每天很热。
可是很多外国人很喜欢赛太杨在海边，在印尼有很多外国人来路性。	可是很多外国人很喜欢晒太阳在海边，在印尼有很多外国人来旅行。
在圣文森我住在ＮＯＲＴＨ　ＵＮＩＯＮ，这里有很有明的花地方。	在圣文森我住在ＮＯＲＴＨ　ＵＮＩＯＮ，这里有很有名的花地方。
在台北我已经主了差不多两年了。	在台北我已经住了差不多两年了。
每星期四我们一起上跳舞的课。	每星期四我们一起上跳舞的课。
我在印尼出生，在那边住了许多年，然后去澳洲留学，我的太太那时候是我的同学。	我在印尼出生，在那边住了许多年，然后去澳洲留学，我的太太那时候是我的同学。
台湾是一个很美的国家，共公架构也做的很好。	台湾是一个很美的国家，共公架构也做的很好。
一个礼拜三次我去健身房运动。	一个礼拜三次我去健身房运动。
我不上课的时候，我常常看电视或是出去逛街。	我不上课的时候，我常常看电视或是出去逛街。
不在学校的时候我跟他们一起吃饭。	不在学校的时候我跟他们一起吃饭。
我是加拿大人。	我是加拿大人。
七个月以前我到台湾学中文因为咖拿大很多人说中文所以很有用。	七个月以前我到台湾学中文因为加拿大很多人说中文所以很有用。
台湾人对留学生很客气，所以我非常喜欢台湾。	台湾人对留学生很客气，所以我非常喜欢台湾。
现在我在台北西个半月了，周末的时候我跟同学练习中文还有一起去看电影。	现在我在台北七个半月了，周末的时候我跟同学练习中文还有一起去看电影。
我姐姐下个月要回印尼了，可是她还没决定几号要丁飞机票。	我姐姐下个月要回印尼了，可是她还没决定几号要订飞机票。
雄一，不好意思。我明天不能跟你一起丢看电影。	雄一，不好意思。我明天不能跟你一起去看电影。
明天我不能跟你一块去看电影在西门町，因为我的功课太多了恐怕做不完。	明天我不能跟你一块去看电影在西门町，因为我的功课太多了恐怕做不完。
我有不好的新闻。	我有不好的新闻。
最近，我觉得我对台湾过明。	最近，我觉得我对台湾过敏。
我刚刚去你的办公室找你，可是你不在。	我刚刚去你的办公室找你，可是你不在。
明天我要参架奖学金考试不能来上课。	明天我要参加奖学金考试不能来上课。
可能来不及回来上课，所以请老师愿意让我明天请假。	可能来不及回来上课，所以请老师愿意让我明天请假。
明天我不能来上课，因为明天早上八点中我要去飞机场送我爸爸妈妈回国。	明天我不能来上课，因为明天早上八点钟我要去飞机场送我爸爸妈妈回国。
我明天不能上课，因为明天我跟朋友做房子，所以我要请一天的假。	我明天不能上课，因为明天我跟朋友做房子，所以我要请一天的假。
我已经把明天的功课写完了，和放在你的卓子上。	我已经把明天的功课写完了，和放在你的桌子上。
我明天请假不能来上课，今天我觉得感冒了，所以明天我要去看医生。	我明天请假不能来上课，今天我觉得感冒了，所以明天我要去看医生。
我想明天也许我不能上课，所以请你给我请家。	我想明天也许我不能上课，所以请你给我请假。
谢谢您！麻烦您！再见！	谢谢您！麻烦您！再见！
他起来后，冲忙地赶到公车站，连衣服都没有换。	他起来后，匆忙地赶到公车站，连衣服都没有换。
他再也不会撤扬。	他再也不会这样。
因为她可以闻李大明的衣服很香抽烟的味道，所以老师就知道李大明试试骗她！	因为她可以闻李大明的衣服很像抽烟的味道，所以老师就知道李大明试试骗她！
他等公车，看他的手表，觉得下次他应该早一点睡。	他等公车，看他的手表，觉得下次他应该早一点睡。
李大明说他觉得不好意思，然后快去坐下。	李大明说他觉得不好意思，然后快去坐下。
他很赤道，所以不换衣服，也不吃早饭，他起床很快。	他很迟到，所以不换衣服，也不吃早饭，他起床很快。
今天不是他第一次赤道，李大明常常赤道中文课。	今天不是他第一次迟到，李大明常常迟到中文课。
李大明告诉他德老师，「真的不好意思，下次我很小心。」	李大明告诉他的老师，「真的不好意思，下次我很小心。」
他照空位子坐著看书。	他找空位子坐著看书。
昨天晚上李大明根其他的朋友去夜店跳舞喝酒。	昨天晚上李大明跟其他的朋友去夜店跳舞喝酒。
各天早上闹钟响很久，他没办法起床。	隔天早上闹钟响很久，他没办法起床。
我在音乐浪里，一边喝酒，一边跟美女跳舞，到二点才搭计程车回家。	我在音乐浪里，一边喝酒，一边跟美女跳舞，到二点才搭计程车回家。
我赶快刷牙，洗脸，然后跑到公车站，又看手表，又等公车！还要排队！	我赶快刷牙，洗脸，然后跑到公车站，又看手表，又等公车！还要排队！
他睡很跑，睡到忘了时间起床。	他睡很饱，睡到忘了时间起床。
他想：「这样我一定会持刀的！怎么办？」。	他想：「这样我一定会迟到的！怎么办？」。
老师很生气，就跟他说：「别再持刀！如果你又这样，我就不让你进来教室，知道了吗？」。	老师很生气，就跟他说：「别再迟到！如果你又这样，我就不让你进来教室，知道了吗？」。
大明只好跟老驰说：「对不起！我知道了！」。	大明只好跟老师说：「对不起！我知道了！」。
他起床的时间是已经早上十点，他才想了起来他有十点的课。	他起床的时间是已经早上十点，他才想了起来他有十点的课。
他终于来了，他门才开始小考试。	他终于来了，他们才开始小考试。
李大明喜欢辣妹，喝酒和跳舞，常常会到夜店玩到三、四点才回家。	李大明喜欢辣妹，喝酒和跳舞，常常会到夜店玩到三、四点才回家。
那天，他又因为在夜店跳到很晚，早上七点二十分才起来。	那天，他又因为在夜店跳到很晚，早上七点二十分才起来。
可是巴士人很多，大明又挤不上只好搭的士到学校。	可是巴士人很多，大明又挤不上只好搭的士到学校。
到了课室老师很生气，骂了他一顿。	到了课室老师很生气，骂了他一顿。
昨天晚上王天华跟他的朋友一起去夜店，喝酒、跳舞。	昨天晚上王天华跟他的朋友一起去夜店，喝酒、跳舞。
他想来想去明天告诉他们应该会多案情一点。	他想来想去明天告诉他们应该会多安静一点。
今天他很糊涂，他的书，工课，什么的都不见了。	今天他很糊涂，他的书，功课，什么的都不见了。
他们跳舞跳得很高兴，没想到跳著跳著就照过半夜了。	他们跳舞跳得很高兴，没想到跳著跳著就超过半夜了。
到了教室以后才知道今天并不是期末考，他被老师妈了。	到了教室以后才知道今天并不是期末考，他被老师骂了。
李大明上个周末跟同学们去夜店跳舞。	李大明上个周末跟同学们去夜店跳舞。
他们跳著跳著，忘了时间了。	他们跳著跳著，忘了时间了。
我知道今天有一个很重要的听试，可是昨天下午准备了好了。	我知道今天有一个很重要的听试，可是昨天下午准备了好了。
我打算到十二点半玩，然后会回家，可是我认识两个漂亮的努孩子了，也喝了很多酒。	我打算到十二点半玩，然后会回家，可是我认识两个漂亮的女孩子了，也喝了很多酒。
我不记得什么时候我回了家，可是起了船很晚。	我不记得什么时候我回了家，可是起了床很晚。
我起了船，洗了刷牙，换了衣服，马上就跑到公车占了。	我起了床，洗了刷牙，换了衣服，马上就跑到公车站了。
上课的时候我的中文老师她看起来很生气，我知道是我得错。	上课的时候我的中文老师她看起来很生气，我知道是我的错。
你现在生体的情形应该好多了吧？	你现在身体的情形应该好多了吧？
希望你生体好。	希望你身体好。
我想去你的家了，可是我不能去，因为今天我有大的考试。	我想去你的家了，可是我不能去，因为今天我有大的考试。
我来台湾也要念书，可是我是医生，我念书的时候我一定去医院跟台湾病人说中文话，所以我先学中文，然后再念书。	我来台湾也要念书，可是我是医生，我念书的时候我一定去医院跟台湾病人说中文话，所以我先学中文，然后再念书。
我今天本来想去看你，可是明天要期末考，我需要复习。	我今天本来想去看你，可是明天要期末考，我需要复习。
今天天气很晴朗，我提早去学校。	今天天气很晴朗，我提早去学校。
下课以后我很想去看他，可是我有事没办法去他家。	下课以后我很想去看他，可是我有事没办法去他家。
你可以路行在越南。	你可以旅行在越南。
我厅美琴说你病了，有一个月没来上课。	我听美琴说你病了，有一个月没来上课。
我很担心你的健康，因为你身体一责都不是很好。	我很担心你的健康，因为你身体一直都不是很好。
我的家有爸爸、吗吗、哥哥跟我。	我的家有爸爸、妈妈、哥哥跟我。
我不喜欢咖啡跟男生。	我不喜欢咖啡跟男生。
听说你的身体不好。你是怎码样？	听说你的身体不好。你是怎么样？
我有另外的事，我不可以去看你。	我有另外的事，我不可以去看你。
真的不好以思。	真的不好意思。
有吗吗、弟弟、姊姊还有我。	有妈妈、弟弟、姊姊还有我。
你哪里不舒服吗？	你哪里不舒服吗？
我希望你的身体健康，祝你身体的恢复。	我希望你的身体健康，祝你身体的恢复。
我回国之后，我跟快去你家。	我回国之后，我很快去你家。
对不起下个月我要跟爸霸去美国，所以我不能祝福你。	对不起下个月我要跟爸爸去美国，所以我不能祝福你。
情爱的李大明和林小美，恭喜恭喜妳们结婚，我祝妳们很开心。	亲爱的李大明和林小美，恭喜恭喜妳们结婚，我祝妳们很开心。
我受到了你们的结婚卡。	我收到了你们的结婚卡。
我的好朋友们恭喜恭喜你们，不好意思我不会去，因为那天我有一个事情。	我的好朋友们恭喜恭喜你们，不好意思我不会去，因为那天我有一个事情。
这是他们的第一次来台湾，他们两个人不可以去玩台呗。	这是他们的第一次来台湾，他们两个人不可以去玩台北。
不好意思！我不可以去，因为我很忙这个月很少修息，下次我们一起持分号码？	不好意思！我不可以去，因为我很忙这个月很少休息，下次我们一起吃饭好吗？
因为５月２０日我有很重要的事，那个礼拜我要回国去看我妈妈。	因为５月２０日我有很重要的事，那个礼拜我要回国去看我妈妈。
听到你们要结婚我非常的高兴！	听到你们要结婚我非常地高兴！
哪天在美国工作，所以我没办法参加。	那天在美国工作，所以我没办法参加。
谢谢你们的卡，我太高兴你们的结婚。	谢谢你们的卡，我太高兴你们的结婚。
我要你们的结婚的晚会，可是我不可能去。	我要你们的结婚的晚会，可是我不可能去。
可是我想那个一天成你们的最幸福的一天。	可是我想那个一天成你们的最幸福的一天。
可是今天有下雨，我们真得很难过！	可是今天有下雨，我们真的很难过！
我们在烤肉，还没开始吃饭，天气不一样，下雨。	我们在烤肉，还没开始吃饭，天气不一样，下雨。
公园的旁边有一家餐厅，我们一起去哪里吃饭。	公园的旁边有一家餐厅，我们一起去那里吃饭。
所以我给服务员说：「现在很冷，你可以给我们卫生纸还是开暖气。」，服务员说：「都可以。」	所以我给服务员说：「现在很冷，你可以给我们卫生纸还是开暖气。」，服务员说：「都可以。」
哪一天，我跟爸爸我妹妹还有我的哥哥一起去玩儿。	那一天，我跟爸爸我妹妹还有我的哥哥一起去玩儿。
我四个人很高兴，因为那天是我妹妹的生日。	我四个人很高兴，因为那天是我妹妹的生日。
那儿我们做烤肉，因为我妹妹很喜欢烤肉。	那儿我们做烤肉，因为我妹妹很喜欢烤肉。
那饭馆的老板是一个很客气的人。	那饭馆的老板是一个很客气的人。
我妹妹很高兴我们给他一个很大的礼物，他说我爱我家人。	我妹妹很高兴我们给她一个很大的礼物，她说我爱我家人。
我们没想到那一天天气要改变很快，我们开始吃饭，然后下了很大的雨。	我们没想到那一天天气要改变很快，我们开始吃饭，然后下了很大的雨。
昨天的天气那么好，所以我跟三个朋友打算坐公车到山上去烤肉。	昨天的天气那么好，所以我跟三个朋友打算坐公车到山上去烤肉。
我们玩著玩，就开始下大雨了，怎么班呢？	我们玩著玩，就开始下大雨了，怎么办呢？
我们很不好意思因为我们的衣服很脏，可是福物生对我们很客气，他告诉我们不要担心。	我们很不好意思因为我们的衣服很脏，可是服务生对我们很客气，他告诉我们不要担心。
他高兴地说：「今天好棒！我可以吃到饱，好久没有跟朋友一起去烤肉。」	他高兴地说：「今天好棒！我可以吃到饱，好久没有跟朋友一起去烤肉。」
他们快要毕业了，所以他们想毕业旅行记念作回意。	他们快要毕业了，所以他们想毕业旅行纪念做回忆。
他们花了一个多小时坐巴士到山上。	他们花了一个多小时坐巴士到山上。
他们到的时候天起非常好。	他们到的时候天气非常好。
过了一回ㄦ，开始下大雨。	过了一回儿，开始下大雨。
王天华跟他的同学马上躲到不会淋雨的地方去。	王天华跟他的同学马上躲到不会淋雨的地方去。
可是他们还是有做纪念。玩得也很开心。	可是他们还是有做纪念。玩得也很开心。
等了半个小时的公车结果看到一辆２９７的公车，他们就很开心的上车。	等了半个小时的公车结果看到一辆２９７的公车，他们就很开心地上车。
突然天黑了，开始下雨了，他们都很快的跑到安全的地方。	突然天黑了，开始下雨了，他们都很快地跑到安全的地方。
应为食物都没办法吃了，但不得不吃，所以他们只好在那一家餐厅吃中饭。	因为食物都没办法吃了，但不得不吃，所以他们只好在那一家餐厅吃中饭。
我们上个礼拜到山上去野餐。	我们上个礼拜到山上去野餐。
到山上，我门烤肉、吃水果、喝汽水，都好吃。	到山上，我们烤肉、吃水果、喝汽水，都好吃。
可是我们在说话忽然下雨，不可能继续在外面烤肉。	可是我们在说话忽然下雨，不可能继续在外面烤肉。
可是下雨时侯我们看到一家餐厅好大在旁边，我们到那家餐厅吃一点东西洋后回去。	可是下雨时候我们看到一家餐厅好大在旁边，我们到那家餐厅吃一点东西然后回去。
我们坐巴士到公园。	我们坐巴士到公园。
我们的午饭是烤肉。我们带很多烤肉菜和饮料。	我们的午饭是烤肉。我们带很多烤肉菜和饮料。
可是我们在下雨不可能烤肉，所以我们去附近饭店，然后在这里吃饭了。	可是我们在下雨不可能烤肉，所以我们去附近饭店，然后在这里吃饭了。
他很用功念书，他希望明天会考的很好。	他很用功念书，他希望明天会考得很好。
他很快就考好了，他很高兴因为今天的考试他会写。	他很快就考好了，他很高兴因为今天的考试他会写。
在那边他们吃很多东西，唱歌唱得很开心，王天华最高兴的。	在那边他们吃很多东西，唱歌唱得很开心，王天华最高兴的。
下课以后我建意跟同学一起去ＫＴＶ唱歌，过了很开心的时间。	下课以后我建议跟同学一起去ＫＴＶ唱歌，过了很开心的时间。
晚上他跟一些同学一起去吃东西、唱歌。	晚上他跟一些同学一起去吃东西、唱歌。
因为我有重要的事。	因为我有重要的事。
虽然我不能跟你一起去，但我希望你可以玩儿得开心。难得的机会好好的放松吧！	虽然我不能跟你一起去，但我希望你可以玩儿得开心。难得的机会好好地放松吧！
我应该考试法文，请你可以调到五月五号吗？	我应该考试法文，请你可以调到五月五号吗？
李大明我打算要去法国流行，我想你要不要跟我去，有朋友一起去比较好。	李大明我打算要去法国旅行，我想你要不要跟我去，有朋友一起去比较好。
因为这是我第一次去，我真希望你要跟我去！	因为这是我第一次去，我真希望你要跟我去！
就下个月十号去喔，你觉得怎么样？请你再跟我联络一下？	就下个月十号去喔，你觉得怎么样？请你再跟我联络一下？
应为我的出生在北美洲。	因为我的出生在北美洲。
对不起！以后我回来我的国家。	对不起！以后我回来我的国家。
我的计划是：一个星期在英国，一个星期在法国和一个星期在西班牙。	我的计划是：一个星期在英国，一个星期在法国和一个星期在西班牙。
我想去到十份，因为我想座平溪线。	我想去到十份，因为我想坐平溪线。
我觉得在山上看风景很有意思，在哪里野餐也不错。	我觉得在山上看风景很有意思，在那里野餐也不错。
你觉得真么样？	你觉得怎么样？
明天我们去玈行吧，你要早一点起来。	明天我们去旅行吧，你要早一点起来。
我的好朋友，你好！习惯你的生活都很好。	我的好朋友，你好！希望你的生活都很好。
我的朋友在哪里说那边有的地方很有名，我们可以去玩吧！	我的朋友在那里说那边有的地方很有名，我们可以去玩吧！
我等你的答案，习惯你下个月也有时间。	我等你的答案，希望你下个月也有时间。
因为一个好朋友邀请我住在她在花莲的家，我就记得你也非常想到太鲁阁旅行。	因为一个好朋友邀请我住在她在花莲的家，我就记得你也非常想到太鲁阁旅行。
你要去的话，请你把间信寄给我。	你要去的话，请你把简讯寄给我。
你有没有你想去的地方？我想要去日本。	你有没有你想去的地方？我想要去日本。
听说韩国有很多好吃的东西，还有很多化妆品，我很想去哪里买化妆品。	听说韩国有很多好吃的东西，还有很多化妆品，我很想去那里买化妆品。
我打算一边吃小吃，一边逛街，怎么样？听起来很好吧？	我打算一边吃小吃，一边逛街，怎么样？听起来很好吧？
我们就一边喝酒、一边聊天，忽然在电视上有棒球赛，我们就一起看。	我们就一边喝酒、一边聊天，忽然在电视上有棒球赛，我们就一起看。
看完了棒球赛，他就说要回家了。	看完了棒球赛，他就说要回家了。
我是为了工作没时间有空，他忙著念书，这次我们两个可以见面时真直得的。	我是为了工作没时间有空，他忙著念书，这次我们两个可以见面时真值得的。
他来的时候我把冰箱全部的采还有啤酒拿出来。	他来的时候我把冰箱全部的菜还有啤酒拿出来。
我跟小明在客厅便喝啤酒便看电视，小明的流量很好，喝了很多可是没有醉。	我跟小明在客厅边喝啤酒边看电视，小明的酒量很好，喝了很多可是没有醉。
不管他们的球队赢或是不赢，每个比赛他们看得非常兴奋。	不管他们的球队赢或是不赢，每个比赛他们看得非常兴奋。
刚好有啤酒，那喝把！	刚好有啤酒，那喝吧！
我的朋友坐在我的沙发。	我的朋友坐在我的沙发。
没关系，我去握放看一看冰箱里有什么。	没关系，我去卧房看一看冰箱里有什么。
我去握放，我拿东西回去给我的朋友。	我去卧房，我拿东西回去给我的朋友。
昨天是礼拜天大明跟小王都放假，所以大明要请小王来他的家玩。	昨天是礼拜天大明跟小王都放假，所以大明要请小王来他的家玩。
大明很高兴他喝了很多埤酒，吃了很多东西。	大明很高兴他喝了很多啤酒，吃了很多东西。
大明说：下次一起放假他们要去山上滑雪还是去海边游泳。	大明说：下次一起放假他们要去山上滑雪还是去海边游泳。
你前看看电视里有什麻好玩的，我去到厨房拿东西。	你先看看电视里有什么好玩的，我去到厨房拿东西。
他们就卓在沙发上边吃东西边看电视。	他们就坐在沙发上边吃东西边看电视。
大明说「请座，请座」。	大明说「请坐，请坐」。
好久不见了，青进来，这个是我的房间。	好久不见了，请进来，这个是我的房间。
因我通常注意饮食安全的，结果却买了喷过农药的「有机蔬果」，而且喷得太过度而让我们中毒这么严重！	因我通常注意饮食安全的，结果却买了喷过农药的「有机蔬果」，而且喷得太过度而让我们中毒这么严重！
我试一个很注意饮食安全，所已平常买菜时我都选不喷农药的有机菜药。	我是一个很注意饮食安全，所以平常买菜时我都选不喷农药的有机菜药。
希望您帮我素取公平，得到他们适当的赔偿。	希望您帮我诉取公平，得到他们适当的赔偿。
才发现我自己买的「有机蔬菜」里面竟然有农药，害得全家人食物中毒。	才发现我自己买的「有机蔬菜」里面竟然有农药，害得全家人食物中毒。
但没办法，我还是忍耐痛苦的一天。	但没办法，我还是忍耐痛苦的一天。
当时我真受不了，因为他确定说没有农药、很新鲜，我才买「有机蔬菜」。	当时我真受不了，因为他确定说没有农药、很新鲜，我才买「有机蔬菜」。
除了帮忙学中文意外，有时候一起去玩向我介绍台湾的文化。	除了帮忙学中文以外，有时候一起去玩向我介绍台湾的文化。
我们的人生中，你知道我们可以交往多少朋友吗？	我们的人生中，你知道我们可以交往多少朋友吗？
我们不知道他们的真真的背景，是由于大家会随便写一写自己要写的事情。	我们不知道他们的真正的背景，是由于大家会随便写一写自己要写的事情。
可是真正的见面之际，除了说话的内容以外，我们看得到对方的表情，听得到他们的声调，感觉得到他们的感觉。	可是真正的见面之际，除了说话的内容以外，我们看得到对方的表情，听得到他们的声调，感觉得到他们的感觉。
利用网路交友在现代的社会中是一种蛮流行的一项事。	利用网路交友在现代的社会中是一种蛮流行的一项事。
因为对他们来说，透过网路可以接触更多的人，是件不错的事情。	因为对他们来说，透过网路可以接触更多的人，是件不错的事情。
透过网路可以接触更多的人，是件不错的事情。	透过网路可以接触更多的人，是件不错的事情。
过了不久，他们不再根我联络了。	过了不久，他们不再跟我联络了。
我所有跟他们的谈心呢，该不该他们以把它传给别人了。	我所有跟他们的谈心呢，该不该他们已把它传给别人了。
想跟韩国人交朋友，刚好看到你的自我介绍，我想跟妳叫朋友。	想跟韩国人交朋友，刚好看到你的自我介绍，我想跟妳交朋友。
你可能觉得我这样的想法太务实而且冷漠，可是我认为这样才可以保持跟朋友的友谊。	你可能觉得我这样的想法太务实而且冷漠，可是我认为这样才可以保持跟朋友的友谊。
不管是好的或者不好的，人可以在人生上的每一个经验中学到一些事。	不管是好的或者不好的，人可以在人生上的每一个经验中学到一些事。
如果我也是刚到陌生的国家，语言上不太懂对方的意思，一定会发生类似同样的事情或甚至发生更难过的事发生也不一定。	如果我也是刚到陌生的国家，语言上不太懂对方的意思，一定会发生类似同样的事情或甚至发生更难过的事发生也不一定。
但你或妳发现可能买错东西送别人时也要谨慎地考虑，不能就送算了。	但你或妳发现可能买错东西送别人时也要谨慎地考虑，不能就送算了。
拿到礼物的人不觉得使用，或一点儿都没有用处也许可能变成当拉圾。	拿到礼物的人不觉得使用，或一点儿都没有用处也许可能变成当垃圾。
虽然自己觉得一件不好的经验一直在脑子里，但过几年后回想到这件事可能一个美好的回忆不一定。	虽然自己觉得一件不好的经验一直在脑子里，但过几年后回想到这件事可能一个美好的回忆不一定。
那我简单地写到这里，有空再跟我联系。	那我简单地写到这里，有空再跟我联系。
对阿，我也有同样的经验。	对啊，我也有同样的经验。
那个歌手是非常流行，我排队排了３个小时候，才买到了票。	那个歌手是非常流行，我排队排了３个小时后，才买到了票。
但是我好不容易买２张票后，小张说：「我们没有约定吧。我只是说想去厅演唱会而已、并没有拜托你买票啊。」	但是我好不容易买２张票后，小张说：「我们没有约定吧。我只是说想去听演唱会而已、并没有拜托你买票啊。」
她知道我很用心的去找，虽然不是她所幻想的那一双，其实也挺好看的。	她知道我很用心地去找，虽然不是她所幻想的那一双，其实也挺好看的。
我们没有为了这一场小误会、一比钱，干扰到我们两个朋友的感情。	我们没有为了这一场小误会、一笔钱，干扰到我们两个朋友的感情。
妳人实在太大方太好了，因该确定人家要买才帮他买的。	妳人实在太大方太好了，应该确定人家要买才帮他买的。
虽然东西不是一比小钱，但是妳还是送他啦。	虽然东西不是一笔小钱，但是妳还是送他啦。
我把我喜欢的从妳手中买走，别的你放在网路上拍卖吧，可能还可以捞一笔钱呢。	我把我喜欢的从妳手中买走，别的你放在网路上拍卖吧，可能还可以捞一笔钱呢。
不用担心啦，这其实是个小事情，不要匆动。	不用担心啦，这其实是个小事情，不要冲动。
他明明知道自己错了，还说你的中文有问题，脸皮多厚啊！	他明明知道自己错了，还说你的中文有问题，脸皮多厚啊！
他是我的台湾朋友正刚的同学，叫大介，在内华达大学拉斯维加斯分校念观光学。	他是我的台湾朋友正刚的同学，叫大介，在内华达大学拉斯维加斯分校念观光学。
我以为因为发生了什么特别的事情，所以大介没办法来。	我以为因为发生了什么特别的事情，所以大介没办法来。
他想骗妳他自己么有错，有错的是妳。	他想骗妳他自己没有错，有错的是妳。
学历比较高的大学的学生做家教，体育大学的学生做游泳池的监督人员。	学历比较高的大学的学生做家教，体育大学的学生做游泳池的监督人员。
如果打工的项目是刚好跟你或妳有关自己的课系的相关的话当然非常不错。	如果打工的项目是刚好跟你或妳有关自己的科系的相关的话当然非常不错。
听说过有些女大学生快速地赚钱，在酒店上班当酒家女或卖身的情况都有。	听说过有些女大学生快速地赚钱，在酒店上班当酒家女或卖身的情况都有。
在韩国特别被容易受到别国经济影响下，整个股市与经济都下跌得厉害。	在韩国特别被容易受到别国经济影响下，整个股市与经济都下跌得厉害。
如家里的孩子很优秀可以念医学系，但家里并不很有钱无法给孩子达到他的梦想。	如家里的孩子很优秀可以念医学系，但家里并不很有钱无法给孩子达到他的梦想。
每此经济衰退很多学生不的不要休学，虽然毕业了并不找到很理想的工作。	每次经济衰退很多学生不得不要休学，虽然毕业了并不找到很理想的工作。
大学生在工读期间便赚钱便读书是其实非常辛苦，但为了要生活要面对现实觉得第三者是无法理解的。	大学生在工读期间边赚钱边读书是其实非常辛苦，但为了要生活要面对现实觉得第三者是无法理解的。
从我的经验来说，大学生打工是好事，绝对不是坏事。	从我的经验来说，大学生打工是好事，绝对不是坏事。
在我国，一般的州立学费（类似像台湾国立大学），一年平均要一万元美金。	在我国，一般的州立学费（类似像台湾国立大学），一年平均要一万元美金。
有了赚钱的经验才懂钱不是那么好赚，自己开始赚钱了，自己就会省、会少消费。	有了赚钱的经验才懂钱不是那么好赚，自己开始赚钱了，自己就会省、会少消费。
半工半读也可以使学生学习在教室里学不道的东西，书本里的观念到了真正情况下，常常是不同的。	半工半读也可以使学生学习在教室里学不到的东西，书本里的观念到了真正情况下，常常是不同的。
有的公司看学生实习得好，毕业以后会马上给他们好工作。	有的公司看学生实习得好，毕业以后会马上给他们好工作。
